Getting Better	Getting Worse	Undecided	Staying the Same	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
23.0	41.0	5.0	31.0	yougov-economist-25649	YouGov/Economist	2016-09-22	2016-09-24		Adults	1300	3.9	Internet	Nonpartisan	None
30.0	40.0	2.0	28.0	arg-25606	ARG	2016-09-17	2016-09-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
21.0	40.0	9.0	31.0	yougov-economist-25587	YouGov/Economist	2016-09-18	2016-09-19	Overall, do you think the economy is getting better or worse?	Adults	1300	3.9	Internet	Nonpartisan	None
20.0	44.0	6.0	30.0	yougov-economist-25487	YouGov/Economist	2016-09-10	2016-09-13	Overall, do you think the economy is getting better or worse?	Adults	1300	3.9	Internet	Nonpartisan	None
23.0	37.0	7.0	32.0	yougov-economist-25411	YouGov/Economist	2016-09-04	2016-09-06	Overall, do you think the economy is getting better or worse?	Adults	1300	4.4	Internet	Nonpartisan	None
17.0	40.0	8.0	34.0	yougov-economist-25297	YouGov/Economist	2016-08-27	2016-08-29	Overall, do you think the economy is getting better or worse?	Adults	1281		Internet	Nonpartisan	None
22.0	41.0	6.0	30.0	yougov-economist-25247	YouGov/Economist	2016-08-19	2016-08-23	Overall, do you think the economy is getting better or worse?	Adults	1286		Internet	Nonpartisan	None
32.0	46.0	1.0	22.0	arg-25231	ARG	2016-08-17	2016-08-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	3.0	Live Phone	Nonpartisan	None
19.0	39.0	5.0	36.0	yougov-economist-25194	YouGov/Economist	2016-08-14	2016-08-16	Overall, do you think the economy is getting better or worse?	Adults	1278	4.1	Internet	Nonpartisan	None
21.0	41.0	5.0	32.0	yougov-economist-25107	YouGov/Economist	2016-08-06	2016-08-09	Overall, do you think the economy is getting better or worse?	Adults	1300	3.9	Internet	Nonpartisan	None
22.0	40.0	7.0	31.0	yougov-economist-25040	YouGov/Economist	2016-07-30	2016-08-01	Overall, do you think the economy is getting better or worse?	Adults	1300	4.0	Internet	Nonpartisan	None
16.0	42.0	7.0	34.0	yougov-economist-24962	YouGov/Economist	2016-07-23	2016-07-24	Overall, do you think the economy is getting better or worse?	Adults	1300	4.2	Internet	Nonpartisan	None
31.0	38.0	1.0	30.0	arg-24947	ARG	2016-07-17	2016-07-20	Do you think the national economy is getting better, staying the same, or getting worse?	Registered Voters	990	3.2	Live Phone	Nonpartisan	None
16.0	38.0	7.0	39.0	yougov-economist-24925	YouGov/Economist	2016-07-15	2016-07-17	Overall, do you think the economy is getting better or worse?	Adults	1300	4.3	Internet	Nonpartisan	None
18.0	40.0	9.0	33.0	yougov-economist-24874	YouGov/Economist	2016-07-09	2016-07-11		Adults	1300	4.2	Internet	Nonpartisan	None
29.0	32.0	4.0	36.0	ap-gfk-web-24888	AP-GfK (web)	2016-07-07	2016-07-11	How do you expect the general economic situation in this country will change over the next 12 months? Will it…	Adults	1009	3.3	Internet	Nonpartisan	None
17.0	38.0	8.0	37.0	yougov-economist-24823	YouGov/Economist	2016-07-02	2016-07-04		Adults	1300	3.9	Internet	Nonpartisan	None
16.0	40.0	8.0	37.0	yougov-economist-24795	YouGov/Economist	2016-06-24	2016-06-27		Adults	1300	3.9	Internet	Nonpartisan	None
16.0	42.0	6.0	36.0	yougov-economist-24739	YouGov/Economist	2016-06-18	2016-06-20		Adults	1300	3.2	Internet	Nonpartisan	None
25.0	28.0	1.0	46.0	cbs-24687	CBS	2016-06-09	2016-06-13	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1280	3.0	Live Phone	Nonpartisan	None
21.0	39.0	7.0	34.0	yougov-economist-24633	YouGov/Economist	2016-06-02	2016-06-05		Adults	2000	3.2	Internet	Nonpartisan	None
27.0	30.0	1.0	42.0	quinnipiac-24595	Quinnipiac	2016-05-24	2016-05-30		Registered Voters	1561	2.5	Live Phone	Nonpartisan	None
19.0	39.0	5.0	37.0	yougov-economist-24557	YouGov/Economist	2016-05-20	2016-05-23		Adults	1953		Internet	Nonpartisan	None
20.0	38.0	6.0	36.0	yougov-economist-24478	YouGov/Economist	2016-05-06	2016-05-09		Adults	2000	3.0	Internet	Nonpartisan	None
20.0	41.0	5.0	34.0	yougov-economist-24390	YouGov/Economist	2016-04-22	2016-04-26		Adults	2000	2.8	Internet	Nonpartisan	None
35.0	36.0	6.0	23.0	arg-24326	ARG	2016-04-17	2016-04-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	3.0	Live Phone	Nonpartisan	None
24.0	30.0	1.0	44.0	cbs-24281	CBS	2016-04-08	2016-04-12	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1320	3.0	Live Phone	Nonpartisan	None
19.0	42.0	5.0	34.0	yougov-economist-24266	YouGov/Economist	2016-04-08	2016-04-11		Adults	1963		Internet	Nonpartisan	None
21.0	38.0	5.0	36.0	yougov-economist-24181	YouGov/Economist	2016-03-26	2016-03-29		Adults	1954		Internet	Nonpartisan	None
22.0	17.0	6.0	55.0	pew-24180	Pew	2016-03-17	2016-03-26		Adults	2254	2.4	Live Phone	Nonpartisan	None
28.0	27.0	1.0	44.0	cbs-times-24129	CBS/Times	2016-03-17	2016-03-20	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1252	3.0	Live Phone	Nonpartisan	None
31.0	37.0	7.0	25.0	arg-24120	ARG	2016-03-17	2016-03-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	3.0	Live Phone	Nonpartisan	None
21.0	40.0	6.0	33.0	yougov-economist-24084	YouGov/Economist	2016-03-10	2016-03-12		Adults	1972		Internet	Nonpartisan	None
18.0	40.0	6.0	36.0	yougov-economist-23910	YouGov/Economist	2016-02-24	2016-02-27		Adults	2000	2.8	Internet	Nonpartisan	None
39.0	41.0	1.0	19.0	arg-7651	ARG	2010-04-17	2010-04-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
27.0	37.0	6.0	29.0	yougov-economist-7536	YouGov/Economist	2010-04-03	2010-04-06		Adults	1000	4.9	Internet	Nonpartisan	None
23.0	38.0	6.0	32.0	yougov-economist-7499	YouGov/Economist	2010-03-27	2010-03-30		Adults	1000	4.9	Internet	Nonpartisan	None
23.0	41.0	4.0	31.0	yougov-economist-7453	YouGov/Economist	2010-03-20	2010-03-22		Adults	1000	4.9	Internet	Nonpartisan	None
24.0	35.0	8.0	33.0	yougov-economist-7388	YouGov/Economist	2010-03-13	2010-03-16		Adults	1000	4.9	Internet	Nonpartisan	None
23.0	37.0	4.0	35.0	yougov-economist-7364	YouGov/Economist	2010-03-06	2010-03-08		Adults	1000	4.9	Internet	Nonpartisan	None
25.0	37.0	5.0	33.0	yougov-economist-7304	YouGov/Economist	2010-02-28	2010-03-02		Adults	1000	4.9	Internet	Nonpartisan	None
30.0	35.0	2.0	33.0	arg-7205	ARG	2010-02-17	2010-02-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
25.0	34.0	5.0	37.0	yougov-economist-7192	YouGov/Economist	2010-02-13	2010-02-16		Adults	1000	4.9	Internet	Nonpartisan	None
24.0	29.0	2.0	45.0	cbs-times-7137	CBS/Times	2010-02-05	2010-02-10	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1084	3.0	Live Phone	Nonpartisan	None
24.0	38.0	4.0	34.0	yougov-economist-7142	YouGov/Economist	2010-02-07	2010-02-09		Adults	1000	4.9	Internet	Nonpartisan	None
21.0	38.0	6.0	35.0	yougov-economist-7049	YouGov/Economist	2010-01-24	2010-01-26		Adults	1000	4.9	Internet	Nonpartisan	None
32.0	32.0	2.0	34.0	arg-6989	ARG	2010-01-17	2010-01-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
24.0	28.0	0.0	48.0	cbs-news-6917	CBS News	2010-01-14	2010-01-17	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1090	3.0	Live Phone	Nonpartisan	None
24.0	36.0	5.0	35.0	yougov-economist-6890	YouGov/Economist	2010-01-06	2010-01-12		Adults	1000	4.9	Internet	Nonpartisan	None
31.0	19.0	1.0	49.0	cbs-news-6853	CBS News	2010-01-06	2010-01-10	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1216	3.0	Live Phone	Nonpartisan	None
26.0	38.0	4.0	32.0	yougov-economist-6839	YouGov/Economist	2010-01-02	2010-01-05		Adults	1000	4.9	Internet	Nonpartisan	None
30.0	36.0	3.0	31.0	yougov-economist-6809	YouGov/Economist	2009-12-26	2009-12-29		Adults	1000	4.9	Internet	Nonpartisan	None
25.0	41.0	4.0	29.0	yougov-economist-6810	YouGov/Economist	2009-12-20	2009-12-22		Adults	1000	4.9	Internet	Nonpartisan	None
32.0	30.0	3.0	35.0	arg-6766	ARG	2009-12-17	2009-12-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
28.0	28.0	1.0	43.0	quinnipiac-6779	Quinnipiac	2009-12-15	2009-12-20		Registered Voters	1616	2.4	Live Phone	Nonpartisan	None
28.0	33.0	5.0	33.0	yougov-economist-6700	YouGov/Economist	2009-12-06	2009-12-08		Adults	1000	4.9	Internet	Nonpartisan	None
29.0	23.0	1.0	47.0	cbs-times-6691	CBS/Times	2009-12-04	2009-12-08	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1031	3.0	Live Phone	Nonpartisan	None
29.0	43.0	2.0	26.0	arg-6600	ARG	2009-11-17	2009-11-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
32.0	25.0	1.0	42.0	cbs-news-6554	CBS News	2009-11-13	2009-11-15	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	873	3.0	Live Phone	Nonpartisan	None
23.0	37.0	5.0	34.0	yougov-economist-6500	YouGov/Economist	2009-11-01	2009-11-03		Adults	1000	4.9	Internet	Nonpartisan	None
28.0	35.0	6.0	31.0	yougov-economist-6449	YouGov/Economist	2009-10-25	2009-10-27		Adults	1000	4.9	Internet	Nonpartisan	None
25.0	34.0	8.0	34.0	yougov-economist-6380	YouGov/Economist	2009-10-18	2009-10-20		Adults	1000	4.9	Internet	Nonpartisan	None
31.0	37.0	4.0	28.0	arg-6384	ARG	2009-10-17	2009-10-20	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
28.0	32.0	5.0	34.0	yougov-economist-6313	YouGov/Economist	2009-10-11	2009-10-13		Adults	1000	4.9	Internet	Nonpartisan	None
31.0	18.0	1.0	50.0	cbs-news-6267	CBS News	2009-10-05	2009-10-08	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	829	3.0	Live Phone	Nonpartisan	None
28.0	37.0	4.0	31.0	yougov-economist-6273	YouGov/Economist	2009-10-04	2009-10-06		Adults	1000	4.9	Internet	Nonpartisan	None
35.0	58.0			gallup-6224	Gallup	2009-10-02	2009-10-04	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
29.0	45.0	6.0	19.0	rasmussen-6220	Rasmussen	2009-10-02	2009-10-04	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
25.0	30.0	4.0	40.0	pew-6229	Pew	2009-09-30	2009-10-04		Adults	1500	3.0	Live Phone	Nonpartisan	None
30.0	46.0	5.0	19.0	rasmussen-6219	Rasmussen	2009-10-01	2009-10-03	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
35.0	59.0			gallup-6218	Gallup	2009-10-01	2009-10-03	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	44.0	5.0	19.0	rasmussen-6217	Rasmussen	2009-09-30	2009-10-02	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	59.0			gallup-6216	Gallup	2009-09-30	2009-10-02	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
38.0	56.0			gallup-6190	Gallup	2009-09-28	2009-09-30	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
34.0	41.0	6.0	19.0	rasmussen-6184	Rasmussen	2009-09-28	2009-09-30	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
42.0	52.0			gallup-6187	Gallup	2009-09-27	2009-09-29	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	43.0	5.0	20.0	rasmussen-6179	Rasmussen	2009-09-27	2009-09-29	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
40.0	54.0			gallup-6175	Gallup	2009-09-26	2009-09-28	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	44.0	4.0	19.0	rasmussen-6171	Rasmussen	2009-09-26	2009-09-28	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
41.0	54.0			gallup-6168	Gallup	2009-09-25	2009-09-27	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	46.0	4.0	17.0	rasmussen-6166	Rasmussen	2009-09-25	2009-09-27	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
33.0	46.0	4.0	16.0	rasmussen-6165	Rasmussen	2009-09-24	2009-09-26	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
41.0	54.0			gallup-6164	Gallup	2009-09-24	2009-09-26	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	46.0	4.0	18.0	rasmussen-6163	Rasmussen	2009-09-23	2009-09-25	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
42.0	36.0			gallup-6162	Gallup	2009-09-23	2009-09-25	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	50.0			gallup-6158	Gallup	2009-09-22	2009-09-24	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	44.0	5.0	20.0	rasmussen-6152	Rasmussen	2009-09-22	2009-09-24	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
44.0	51.0			gallup-6145	Gallup	2009-09-21	2009-09-23	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	41.0	4.0	22.0	rasmussen-6142	Rasmussen	2009-09-21	2009-09-23	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	17.0	1.0	46.0	cbs-times-6149	CBS/Times	2009-09-19	2009-09-23	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1042	3.0	Live Phone	Nonpartisan	None
41.0	53.0			gallup-6140	Gallup	2009-09-20	2009-09-22	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
34.0	40.0	5.0	21.0	rasmussen-6138	Rasmussen	2009-09-20	2009-09-22	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
41.0	52.0			gallup-6132	Gallup	2009-09-19	2009-09-21	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	44.0	4.0	20.0	rasmussen-6131	Rasmussen	2009-09-19	2009-09-21	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
36.0	25.0	6.0	33.0	arg-6133	ARG	2009-09-18	2009-09-21	Do you think the national economy is getting better, staying the same, or getting worse?	Adults	1100	2.6	Live Phone	Nonpartisan	None
40.0	54.0			gallup-6126	Gallup	2009-09-18	2009-09-20	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	42.0	5.0	20.0	rasmussen-6123	Rasmussen	2009-09-18	2009-09-20	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
42.0	52.0			gallup-6122	Gallup	2009-09-17	2009-09-19	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
32.0	43.0	5.0	19.0	rasmussen-6120	Rasmussen	2009-09-17	2009-09-19	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
31.0	42.0	6.0	21.0	rasmussen-6118	Rasmussen	2009-09-16	2009-09-18	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
40.0	54.0			gallup-6117	Gallup	2009-09-15	2009-09-18	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
40.0	54.0			gallup-6116	Gallup	2009-09-15	2009-09-17	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
33.0	43.0	5.0	19.0	rasmussen-6107	Rasmussen	2009-09-15	2009-09-17	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
40.0	54.0			gallup-6101	Gallup	2009-09-14	2009-09-16	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
36.0	41.0	4.0	19.0	rasmussen-6094	Rasmussen	2009-09-14	2009-09-16	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
40.0	54.0			gallup-6091	Gallup	2009-09-13	2009-09-15	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
35.0	44.0	4.0	17.0	rasmussen-6084	Rasmussen	2009-09-13	2009-09-15	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
32.0	46.0	4.0	17.0	rasmussen-6074	Rasmussen	2009-09-13	2009-09-14	Are economic conditions in the country getting better or worse these days?	Likely Voters	1000	3.0	Automated Phone	Nonpartisan	None
43.0	52.0			gallup-6078	Gallup	2009-09-12	2009-09-14	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
43.0	52.0			gallup-6066	Gallup	2009-09-11	2009-09-13	Right now, do you think that economic conditions in the country as a whole are getting better or getting worse?	Adults	1500	3.0	Live Phone	Nonpartisan	None
31.0	46.0	5.0	19.0	rasmussen-6061	Rasmussen	2009-09-11	2009-09-13	Are economic conditions in the country getting better or worse these days?	Likely Voters	1500	3.0	Automated Phone	Nonpartisan	None
